,review,label
0,"['racun', 'cantik', 'produk', 'suka', 'banget', 'produk', 'gel', 'enak', 'gosok', 'bersih', 'tidak susah', '', 'langsung', 'kesat', 'tapi', 'sayang', 'produk', 'breakout', 'padahal', 'tidak produk', '', 'lama', 'lama', 'produk', 'paraben', 'kurang bagus', '', 'kesal', 'banget', 'padahal', 'sinar', 'masa', 'karantina', 'sinar', 'tapi', 'cocok', 'cocok', 'betul', 'bukan jodoh', '']",0
1,"['jujur', 'coba', 'coba', 'bruntus', 'jidat', 'mending', 'tapi', 'tidak lama', '', 'asa', 'kering', 'tarik', 'kurang cocok', '', 'sedikit', 'busa', 'bagus', 'ragu', 'produk', 'bisa', 'kecil', 'sayang', 'penuh', 'tapi', 'tidak cocok', '', 'mahal']",0
2,"['lumayan', 'sensitif', 'bersih', 'cukup', 'bantu', 'lembap', 'susah', 'banget', 'temu', 'produk', 'cocok', 'gampang', 'bruntus', 'gampang', 'jerawat', 'gampang', 'kusam', 'tapi', 'cetaphil', 'jarang', 'bruntus', 'tapi', 'tidak bisa', '', 'super', 'suka', 'tidak kandung', '', 'banyak', 'deterjen', 'tidak busa', '', 'trauma', 'face', 'busa', 'busa', 'limpah', 'produk', 'bersih', 'free', 'parfum', 'aman', 'sensitif']",1
3,"['bekas', 'jual', 'coba', 'lebih', 'tapi', 'muncul', 'jerawat', 'padahal', 'tekstur', 'enak', 'tidak busa', '', 'asa', 'bersih', 'isi', 'beli', 'cetaphil', 'banget']",0
4,"['breakout', 'produk', 'cetaphil', 'benar', 'antusias', 'produk', 'cetaphil', 'akhir', 'bagus', 'lebih', 'lembap', 'pikir', 'jerawat', 'bruntus', 'mending', 'tapi', 'banding', 'beda', 'lebih', 'lembap', 'harga', 'mahal', 'henti']",0
5,"['bersih', 'selamat', 'breakout', 'serum', 'somethinc', 'senang', 'banget', 'cetaphil', 'benar', 'gentle', 'bruntus', 'hilang', 'cetaphil', 'cinta', 'banget', 'bersih', 'busa', 'tidak tarik', '', 'kering', 'rekomendasi', 'banget', 'alamin', 'bruntus', 'tidak cocok', '', 'produk', 'harga', 'semkain', 'murah', 'isi', 'semkain', 'banyak', 'serius', 'bisa', 'hemat', 'jual', 'cetaphil', 'gentle', 'bersih', 'kondisi', 'lebih', 'jamin', 'original', 'jual', 'free', 'sheet', 'bisa', 'free']",1
6,"['benar', 'tidak efek', '', 'beri', 'hidrasi', 'bagus', 'lebih', 'cocok', 'kering', 'tapi', 'kombinasi', 'suka', 'repurchase', 'sering', 'hidrasi', 'baik', 'suka', 'double', 'bersih', 'bersih', 'bersih', 'cetaphil', 'lama', 'bekas']",1
7,"['breakout', 'tidak padahal', '', 'produk', 'bagus', 'akhir', 'coba', 'tekstur', 'creamy', 'sabun', 'cair', 'tidak bau', '', 'busa', 'tidak kesat', '', 'sabun', 'rasa', 'tidak bersih', '', 'bagus', 'kering', 'tidak tarik', '', 'tapi', 'lembap', 'tapi', 'tidak efek', '', 'positif', 'jerawat', 'tidak hilang', '', 'akhir', 'henti']",0
8,"['cetaphil', 'gentle', 'bersih', 'tidak banyak', '', 'isi', 'jual', 'belum', 'higenis']",1
9,"['benar', 'coba', 'lumayan', 'mahal', 'populer', 'banget', 'coba', 'klaim', 'gentle', 'kandung', 'sabun', 'tidak limpah', '', 'jerawat', 'prone', 'butuh', 'bersih', 'beraktifitas', 'hari', 'tidak asa', '', 'breakout', 'purging', 'tidak kurang', '', 'rasa', 'tendang', 'performa', 'cocok', 'kulit', 'sensitif']",0
10,"['produk', 'populer', 'banget', 'breakout', 'parah', 'ganti', 'tapi', 'tidak bantu', '', 'tidak busa', '', 'tapi', 'tidak asa', '', 'bersih', 'bruntus', 'sabar', 'tidak cocok', '', 'coba']",0
