,Text_Final,tokens,label,Pos,Neg
0,racun cantik produk suka banget produk gel enak gosok bersih tidak mudah langsung kesat tapi sayang produk breakout padahal tidak produk lama lama produk paraben kurang bagus kesal banget huwa padahal sinar masa karantina sinar tapi cocok cocok betul bukan jodoh,"['racun', 'cantik', 'produk', 'suka', 'banget', 'produk', 'gel', 'enak', 'gosok', 'bersih', 'tidak', 'mudah', 'langsung', 'kesat', 'tapi', 'sayang', 'produk', 'breakout', 'padahal', 'tidak', 'produk', 'lama', 'lama', 'produk', 'paraben', 'kurang', 'bagus', 'kesal', 'banget', 'huwa', 'padahal', 'sinar', 'masa', 'karantina', 'sinar', 'tapi', 'cocok', 'cocok', 'betul', 'bukan', 'jodoh']",0,0,1
1,jujur coba coba bruntus jidat mending tapi tidak cepat asa kering tarik kurang cocok sedikit busa bagus produk bisa kecil ful tapi tidak cocok mahal,"['jujur', 'coba', 'coba', 'bruntus', 'jidat', 'mending', 'tapi', 'tidak', 'cepat', 'asa', 'kering', 'tarik', 'kurang', 'cocok', 'sedikit', 'busa', 'bagus', 'produk', 'bisa', 'kecil', 'ful', 'tapi', 'tidak', 'cocok', 'mahal']",0,0,1
2,lumayan sensitif bersih cukup bantu lembap susah banget temu produk cocok gampang bruntus gampang jerawat gampang kusam tapi jarang bruntus tapi tidak bisa super suka tidak kandung banyak deterjen tidak busa trauma busa busa limpah produk bersih fre parfum aman sensitif,"['lumayan', 'sensitif', 'bersih', 'cukup', 'bantu', 'lembap', 'susah', 'banget', 'temu', 'produk', 'cocok', 'gampang', 'bruntus', 'gampang', 'jerawat', 'gampang', 'kusam', 'tapi', 'jarang', 'bruntus', 'tapi', 'tidak', 'bisa', 'super', 'suka', 'tidak', 'kandung', 'banyak', 'deterjen', 'tidak', 'busa', 'trauma', 'busa', 'busa', 'limpah', 'produk', 'bersih', 'fre', 'parfum', 'aman', 'sensitif']",1,1,0
3,bekas jual coba semingu lebih tapi muncul jerawat padahal tekstur enak tidak busa asa bersih beli oficial banget,"['bekas', 'jual', 'coba', 'semingu', 'lebih', 'tapi', 'muncul', 'jerawat', 'padahal', 'tekstur', 'enak', 'tidak', 'busa', 'asa', 'bersih', 'beli', 'oficial', 'banget']",0,0,1
4,breakout produk mana benar antusias produk akhir bagus lebih lembap jerawat bruntus mending tapi banding beda lebih lembap harga mahal henti,"['breakout', 'produk', 'mana', 'benar', 'antusias', 'produk', 'akhir', 'bagus', 'lebih', 'lembap', 'jerawat', 'bruntus', 'mending', 'tapi', 'banding', 'beda', 'lebih', 'lembap', 'harga', 'mahal', 'henti']",0,0,1
5,bersih selamat breakout serum somethinc senang banget benar gentle bruntus hilang semingu cinta banget bersih busa tidak tarik kering rekomendasi banget alamin bruntus tidak cocok produk harga semkain murah semkain banyak serius bisa hemat gentle bersih kondisi lebih jamin original fre shet rojukis bisa fre shope,"['bersih', 'selamat', 'breakout', 'serum', 'somethinc', 'senang', 'banget', 'benar', 'gentle', 'bruntus', 'hilang', 'semingu', 'cinta', 'banget', 'bersih', 'busa', 'tidak', 'tarik', 'kering', 'rekomendasi', 'banget', 'alamin', 'bruntus', 'tidak', 'cocok', 'produk', 'harga', 'semkain', 'murah', 'semkain', 'banyak', 'serius', 'bisa', 'hemat', 'gentle', 'bersih', 'kondisi', 'lebih', 'jamin', 'original', 'fre', 'shet', 'rojukis', 'bisa', 'fre', 'shope']",1,1,0
6,benar engak efek beri hidrasi bagus lebih cocok kering tapi kombinasi suka repurchase bias sering hidrasi baik suka double bersih bersih bersih lama bekas,"['benar', 'engak', 'efek', 'beri', 'hidrasi', 'bagus', 'lebih', 'cocok', 'kering', 'tapi', 'kombinasi', 'suka', 'repurchase', 'bias', 'sering', 'hidrasi', 'baik', 'suka', 'double', 'bersih', 'bersih', 'bersih', 'lama', 'bekas']",1,1,0
7,breakout tidak padahal produk bagus akhir coba tekstur sabun cair tidak wangi busa tidak licin sabun rasa tidak kotor bagus kering tidak tarik tapi lembap tapi tidak efek positif jerawat tidak hilang akhir henti,"['breakout', 'tidak', 'padahal', 'produk', 'bagus', 'akhir', 'coba', 'tekstur', 'sabun', 'cair', 'tidak', 'wangi', 'busa', 'tidak', 'licin', 'sabun', 'rasa', 'tidak', 'kotor', 'bagus', 'kering', 'tidak', 'tarik', 'tapi', 'lembap', 'tapi', 'tidak', 'efek', 'positif', 'jerawat', 'tidak', 'hilang', 'akhir', 'henti']",0,0,1
8,gentle bersih tangal tidak sedikit belum higenis,"['gentle', 'bersih', 'tangal', 'tidak', 'sedikit', 'belum', 'higenis']",1,1,0
9,benar coba xixixix lumayan mahal populer banget coba klaim gentle kandung sabunya tidak limpah jerawat prone butuh dep bersih beraktifitas hari tidak asa breakout purging tidak lebih rasa tendang performa cocok kulit sensitif,"['benar', 'coba', 'xixixix', 'lumayan', 'mahal', 'populer', 'banget', 'coba', 'klaim', 'gentle', 'kandung', 'sabunya', 'tidak', 'limpah', 'jerawat', 'prone', 'butuh', 'dep', 'bersih', 'beraktifitas', 'hari', 'tidak', 'asa', 'breakout', 'purging', 'tidak', 'lebih', 'rasa', 'tendang', 'performa', 'cocok', 'kulit', 'sensitif']",0,0,1
