,Text_Final,tokens,label
0,salah jerawat tidak sembuh jerawat tidak buruk jerawat makin bengkak muncul nanah tidak repurchase banyak bagus,"['salah', 'jerawat', 'tidak', 'sembuh', 'jerawat', 'tidak', 'buruk', 'jerawat', 'makin', 'bengkak', 'muncul', 'nanah', 'tidak', 'repurchase', 'banyak', 'bagus']",0
1,konsistensi tapi tidak tebal hidrasi lebih jerawat prone bantu baik tekstur rata hyperpigmentasi bekas jerawat merah cukup hidrasi dasar lebih senang campur scrambled noticeable lebih kenyal lembut efek tidak pasca tapi baik tekstur bantu merah otomatis lebih cerah cerah,"['konsistensi', 'tapi', 'tidak', 'tebal', 'hidrasi', 'lebih', 'jerawat', 'prone', 'bantu', 'baik', 'tekstur', 'rata', 'hyperpigmentasi', 'bekas', 'jerawat', 'merah', 'cukup', 'hidrasi', 'dasar', 'lebih', 'senang', 'campur', 'scrambled', 'noticeable', 'lebih', 'kenyal', 'lembut', 'efek', 'tidak', 'pasca', 'tapi', 'baik', 'tekstur', 'bantu', 'merah', 'otomatis', 'lebih', 'cerah', 'cerah']",1
2,bagus bersih rasa bersih gosok bau sedikit bau obat tidak normal tapi bruntus merah kecil kelam tidak cepat,"['bagus', 'bersih', 'rasa', 'bersih', 'gosok', 'bau', 'sedikit', 'bau', 'obat', 'tidak', 'normal', 'tapi', 'bruntus', 'merah', 'kecil', 'kelam', 'tidak', 'cepat']",1
3,tolak murah bingung tapi kecil bersih tidak bukan geser ganggu salah nyata efek rasa cerah efek kunyit tapi efek jerawat merah abis tidak hilang bruntus hilang muncul tidak repurchase tidak,"['tolak', 'murah', 'bingung', 'tapi', 'kecil', 'bersih', 'tidak', 'bukan', 'geser', 'ganggu', 'salah', 'nyata', 'efek', 'rasa', 'cerah', 'efek', 'kunyit', 'tapi', 'efek', 'jerawat', 'merah', 'abis', 'tidak', 'hilang', 'bruntus', 'hilang', 'muncul', 'tidak', 'repurchase', 'tidak']",0
4,putih cantik tidak sedikit henti tidak kesan kesat kencang tapi mudah dijangakau lebih banding,"['putih', 'cantik', 'tidak', 'sedikit', 'henti', 'tidak', 'kesan', 'kesat', 'kencang', 'tapi', 'mudah', 'dijangakau', 'lebih', 'banding']",1
5,kecewa belum counter kondisi cocok cocok tapi kering gatal bau pusing akhir tzone tidak buruk,"['kecewa', 'belum', 'counter', 'kondisi', 'cocok', 'cocok', 'tapi', 'kering', 'gatal', 'bau', 'pusing', 'akhir', 'tzone', 'tidak', 'buruk']",0
6,bagus bagus tidak tunda hilang masalah rutin tapi nyata bruntus bau tidak enak bau arab bubuk rasa cekit cekit perih obat hilang jerawat rada kempes sedikit tapi bruntus banyak akhir,"['bagus', 'bagus', 'tidak', 'tunda', 'hilang', 'masalah', 'rutin', 'tapi', 'nyata', 'bruntus', 'bau', 'tidak', 'enak', 'bau', 'arab', 'bubuk', 'rasa', 'cekit', 'cekit', 'perih', 'obat', 'hilang', 'jerawat', 'rada', 'kempes', 'sedikit', 'tapi', 'bruntus', 'banyak', 'akhir']",0
7,busa gentle tidak kering lebih lembap bagus ering kurang jerawat radang jerawat,"['busa', 'gentle', 'tidak', 'kering', 'lebih', 'lembap', 'bagus', 'ering', 'kurang', 'jerawat', 'radang', 'jerawat']",1
8,suka bahan gel rasa tapi bahan aloeveranya propolis banyak manfaat bahan masalah,"['suka', 'bahan', 'gel', 'rasa', 'tapi', 'bahan', 'aloeveranya', 'propolis', 'banyak', 'manfaat', 'bahan', 'masalah']",1
9,busa efek kurang cocok tapi aman beru tapi hasil jaidi trlihat lebih cerah tidak bisa tapi senang tidak kusam,"['busa', 'efek', 'kurang', 'cocok', 'tapi', 'aman', 'beru', 'tapi', 'hasil', 'jaidi', 'trlihat', 'lebih', 'cerah', 'tidak', 'bisa', 'tapi', 'senang', 'tidak', 'kusam']",1
