id_train,review,label
1,"Salah satu acne spot yang b aja di mukaku nggak nyembuhin jerawat,kaya nggak ngaruh sama sekali dimukaku,jerawat tetep stay malah makin bengkak terus muncul nanah gitu(atau emang cara kerjanya gitu?) yang jelas nggak bakal repurchase sih soalnya masih banyak yang bagus hehe",0
2,"Konsistensi produknya pas menurutku: cream, tapi gak terlalu tebal,menghidrasi tanpa berlebihan. Buat kulitku yg oily acne prone, night creamnya membantu memperbaiki tekstur dan meratakan hyperpigmentasi dari bekas jerawat yang kemerahan di kulit wajah aku. Sehingga cukup menghidrasi skin barrier semalaman. Aku lebih seneng pake night cream ini dengan face oil, dicampur bersamaan dengan teknik scrambled. Pagi harinya yg noticeable adalah kulit lebih plump, lembut (efek ini gak cuma terasa pasca pemakaian cream, tapi secara keseluruhan. Memperbaiki tekstur permukaan kulit). 
Selain itu juga bantu kemerahan, jadi kulit wajah otomatis keliatan lebih cerah karna karna kulitnya udah satu tone. 
Jadi claim produk ini untuk mencerahkan wajah adalah benar adanya hehe.",1
3,"bagus buat bersihin, serasa bersihhh banget kalo pake ini tanpa harus gosok berkali2, baunya khas micellar lah ya.. kayak sedikit bau2 obat gitu, gk bikin berminyak setelah pake tapiiii entah kenapa memicu bruntus merah kecil2 di dagu kalo kelamaan gk dibilas... ðŸ˜­ jadi abis pake ini harus cepet2 cuci wajah pake sabun..",1
4,"Nyobain ini karena di rekomendasiin temen, murce sih, size nya jg macem2. Agak bingung ini masker tpi ada scrub nya kecil2 gitu jdi waktu bersihinnya mau gak mau musti di tepuk2 bkn di geser2. Agak mengganggu sih di kulit aku, aku kira salah beli yg scrub trnyata bener masker. Untuk efek yg bener2 berasa di aku cuma mencerahkannya (efek kandungan kunyit kali ya). Tapi sayangnya.... efek buat jerawatnya b aja, malah cenderung bikin muka merah seabis dipakai. Dan gak tau kenapa malah di  aku nimbulin beruntus di pipi, kadang ilang kadang muncul gitu. Aku nya semuka sih gk spot treatment gitu. Repurchase? hmmmm no",0
5,"pokoknya aku tuh pake facial washnya ponds yg white beauty, gatau tuh dah kalo sekarang dah banyak variannya. ini tuh kalo pas lagi stop ga pake apa2 aku pke dia lagi. hihihi
emang abis cuci muka kesannya keset agak kenceng ya, tapi ini lah yang mudah dijangakau dan lebih mendingan dibanding brand yang sekelas dia menurutku. ",1
6,"Kecewa, kapok. Sebelum beli ini di counter laneige nya di cek dulu kan kondisi wajah nya bagaimana dan cocoknya pakai produk apa, menurut BA nya ini yang paling cocok buat aku, tapi setelah dicoba yaampun dry patch aku di pipi keluar semua, gatelnya luar biasa. Dan baunya juga menurut aku bikin pusing, akhirnya sekarang kadang aku pakai di Tzone aja yang normal, meski ga ada pengaruhnya sama sekali.",0
7,"lihat review pada bilang bagus, temen juga bilang himalaya juga bagus, gak berharap banget bakal langsung ilang masalah kulitku, cuma buat masker rutin aja tapi ternyata malah bikin bruntusan di aku. apalagi baunya gak enak, kayak bau kutek arab yang bubuk itu menurutku. dan pas dipakein rasanya cekit-cekit agak perih, kupikir itu artinya obatnya lagi bekerja dan bakal ngilangin satu jerawatku, iya rada ngempesin dikit tapi malah keluar beruntusan banyak:'' berenti pake deh akhirnya di minggu kedua.",0
8,"foamnya gentle di kulit, gak bikin kering, malah menurutku setelah cuci muka pakai ini kulitku jadi lebih lembap. facial wash ini juga bagus untuk mengeringkan atau mengurangi jerawat radang. aku udah coba dan jerawatku agak mendingan pakai ini.",1
9,"Lagi suka pake sunscreen ini, soalnya dia bahannya gel gtuh, kya berasa lagi maskeran aloevera.. tapi ini emang bahannya ada aloeveranya,greentea,propolis dll jadi banyak banget manfaatnya di sunscreen ini dan bahan² semua masalah dikulit aku ada disini semua????????",1
10,"facial foam satu ini lumayan ngefek diwajahku . pake ini gara2 dikasih kakak karena dia kurang cocok . tp di aku dia aman2 aja . aku pake beru skitar 2 minggu tp hasilnya udah kelihatan , muka jaidi trlihat lebih cerah memang bener cuma ya ga bisa instan . tp udah seneng muka gak kelihatan kusem lagi ",1
11,"pas di coba pertamakali kulit muka jadi lembut aga kenyel, kandungan kandungannya yang bikin pengen terus dipake rutin, cocok banget buat dijadiin base makeup. cuman yg di foto sama yg aku punya packagingnya beda padahal sama sama 25gram",1
12,"aku saranin buat kalian kalian para pelajar yang muka nya berminyak. aku pake ini sekitar 3 tahun yang lalu, waktu itu muka aku berminyak bgt, mangkannya aku pake ini. cuman ya agak keset gitu hbs dibilasnya.",1
13,product awal buat muka aku segini nya???? baguss bangettt pake ini karena gangerti skincare dr kls 8 awal gitu dan langsung keliatan dong perbedaannya tapi buat ngilangin jerawat di aku kurang berpengaruh lebih ke naikin skin tone dan mencerahkan sekarang udahh ga pake lagi maybe nexttime buat texturenya aga susah di blend kemuka kalo kondisi biasa jadi aku pakein moisturizer yg emina cair gt baru pake ini supaya ga abu”maybe nexttime pake lagii,1
14,"untuk para remaja yang lagi low bugdet sih okelah buat beli produk ini. tapi aku berhenti makek dia karna bikin kulit wajahku beruntusan pleus ada sensasi panas gitu di kulit huhuuu,untuk repurchase?engga deh",0
15,"sayang banget sih ga cocok padahal enak banget saat diapply cpt meresap dan ngblend gitu teksturnya yg cair jd paling mudah deh, cuman awal2 pake jd muncul jerawat 1 dulu, ku pikir itu purging biar nantinya bersih semua eh taunya hampir mau sebulan full malah ga sembuh2 tuh jerawat dan malah tumbuh dilain tempat jatohnya kek breakout gtu. yaudah deh jdnya dijual lagi, so sad:(",0
16,"dulu beli ini iseng2 karna fw biasanya abis, karna murah kan ini, setelah pake beberapa hr i notice aku jd banyak whiteheads di hidung, pdhl sblmnya gapernah gini, dan bener2 keliatan putih2 di idung, ini nyebelin bgt sih, semenjak itu udh stop dan jd trauma sama produk wardah",0
17,"Beli ini yg ukuran travel size, nyoba pertama enak. Abis itu setelah dirutinin, tiap bangun paginya daerah T kya kilang minyak & pori2 jg jadi makin jelas. Repurchase? Sorry to say no.
Masih cari2 night cream or prefer booster gitu buat kulit kombinasi ku.",0
18,"ga cocok huhu. tapi terima aksih juga si sama produk jni, karena dia aku jadi tau alkau ga cocok sama vit.c terus reaksinya di kulit aku gimana kaalu ga ccook sama suatu produk. well aku ngabisin 2 tube wkwk, but nothing changed",0
19,"Garnier tuh skincare jaman SMA ku dan cocok banget dikulit hampir semua produknya, glad I found it instead of beli skincare gak jelas merknya padahal dulu masih minim pengetahuan bgt tentang skincare. Pake ini sebagai cream malem,teksturnya lightweight dan mengkilap gitu pas dipake, so far hasilnya bagus, kulit aku jadi glowing tapi gak memutihkan sih, dengan harga yang murah ini bisa banget dicoba terutama buat newbie atau pas lagi on budget.",1
20,"Jujur aku beli sunscreen loreal ini bukan karena butuh cuma kemarin tuh tergoda aja lia promo sunscreen plus serum loreal dr instastory nya kak bellinda (duh gaboleh dicontoh dan sering2 kayak gini deh????) . Pas awa2 muncul sunscreen ini aku ga tertarik sih karena menurutku kemahalan aja untuk budgetku , kemahalan untuk harga sunscreen soalnya kalau untuk skimcare aku mau bayar ratusan ribu hanya untuk treamtemnt prroduct kayak serum,exfo toner,exfo serum,dan eyeserum,eye cream. Aku beberapa kali pakai dan hasilnya? Nyaman banget, di tipe kulit normal to oily ku ini, ga lengket sama sekali, dan tentunya spf 50 tinggi proteksinya kan. Boleh deh sesekali repurchase kalau lagi diskon hehe",1
21,"ini bikin mukaku minyakan bgt jatohnya gtau knp deh, makanya aku stop selain itu jg ga ada perubahan. awalnya iya tp minyakan jd aku ky yaudalah yg penting jerawatku kempes. tp lama2 ga bekerja di kulitku mlh makin minyak soooooo aku ganti dgn yg lain",0
22,ini adalah face wash pertama yang kupakai sebelum akhirnya ganti² awalnya emang cocok banget sampai akhir coba beli lagi untuk keduanya malah udah jadi gak berefek sama sekali bahkan malah jadi tambah berminyak di wajah sayang banget pemakaian belum setengah udah gak cocok sekian Terimakasih.,0
23,"aku punya produk ini udah lama hampir setahunan kynya dulu kalo pake tiap malem bawaannya gatel2 entah kenapa padahal produk nya ga ada fragrance nya, baru2 ini aku pake lagi d kombinasiin sama toner hadalabo, skin1009 ampule, cosrx snail mucin esssence sma serum innisfree green tea seads baru deh hadalabo3d gell , entah kenapa pas bangun enak bgt kulit lebih plumpy lembut enak deh, gada tuh gatel2 ky sebelumnya ",1
24,"iseng nyobain punya adek, dan emg bagus sih bikin jerawat mateng, trus pas kempes jadi ga berbekas. tapi kalo dipake tiap hari bikin muka berminyak, akhirnya muncul beruntusan. padahal di ade gua bagus bgt hasilnya bikin muka dia bersih. trus jadi pinkish gitu mukanya bagus",0
25,"Beli ini pas pertama kali cosrx masuk ke indo. Karena banyak yg bilang bagus yauda deh aku cobain. Tapi kok seminggu pemakaian kulit aku jd muncul beruntusan. Mungkin karea terlalu lembab kali yaa, dan aku punya skintype oily jadi kalau dipake ga nyaman. Karena ini kan snail mucin yaa jd teksturnya beneran kaya lendir gitu ya intinya di aku malah bikin breakout",0
26,"Hello gurls ^^ if you're looking for the miccelar water who made your skin look better, please choose pond's, highly recommended, bersihkan sampai ke akar2nya including your waterproof mascara etc~~~~~",1
27,"produk ini bikin wajah aku jadi breakout parah.. :(( gak cocok pakai ini malah bikin jerawat muncul .. jenis kulitku kering, malah berasa ketarik setelah cuci muka pakai ini.. beruntung banget yang cocok pakai ini, harganya murah soalnya.. hehe",0
28,"Sebenernya seneeeng banget karena ada produk dg harga terjangkau dan punya banyak review bagus. Tapi sayangnya dimukaku ngga cocok. Abis pake ini muka langsung kerasa bersiiih & ceraaah banget, tapi besoknya langsung tumbuh beberapa jerewi huhu. Pas abis dipake juga dimuka masih tetep kerasa panas walopun udah cuci muka. ",0
29,sangat notice perbedaan muka aku semenjak make ini dia bikin muka aku cerah banget tapi agak sedikit kering tapi ga sampe ke kelupas sih tapi aku suka banget sama efek cerah yang dikasi dia ada busa wanginya enak ga ganggu sama sekali dan harganya pun murah,1
30,Facewash kecintaan! Pertama kali nemu facewash yang bener2 bisa angkat minyak di wajah aku secara bersih! Meskipun abis pake itu ‘agak’ sedikit kering sih mukanya ???? Kalo lg ada jerawat pun jd cepet kering jerawatnya. Overall recomended tapi agak sedikit pricey sih emang,1
31,"Setelah pake mask ini mmg enak, wanginya segar dan mungkin keset bgt. Tapiii stlh bbrp menit kemudian, muka bentol bentol kecil dan super gataaal sekali. Aku dr produk yg lain, tp produk yg lain aku stop ttp aja ini luarbiasa gatalnya.",0
32,"First time nyobain produk acnes; cuma facewash ini. Facewash ini diformulasikan untuk kulit jerawat, aku nyobain pas lagi bruntusan banyak banget di jidat-pipi kanan kiri, awal make suka banget sih, krena dia buat beberapa jerawat agak kering, tapi gatau lama kelamaan kulit aku kerasa lebih ketarik dr yang biasanya akhirnya aku stop deh (mgkin krn aku tipe yg ga suka kalau buat muka ketarik kali ya) cuma aku rekom utk kalian yg punya jerawat bisa nyobain ini..",0
33,"sebenernya aku gak beli, tp ini dpt hadiah waktu beli pepsodent, dan kebetulan pelembab aku lagi abis jadi aku pakai aja ini tapi diaku ternyata ga cocok, panas waktu aku pakai ini, dan malah bikin wajah aku yg oily makin parah minyaknya, muncul jerawat dan komedo juga",0
34,Peoduknya bagus dan murah cocok buat anak muda zaman skrg makanya aku suka juga dan wangi banget serta mudah ditemukan dimana2 must have deh ladies!!. Aku bakal sering2 beli sih ini. Terbaik dan recommended +++++,1
35,"Ga cocok di muka ak, pertama pake muka langsung brutusan, ak coba aja pke sampai 1 minggu berharap cuma purging ternyata makin hari makin parah. Akhirnya stop pakai dan gak berani sentuh lagi. Recommend? No",0
36,"aku beli ini di shopee, gak tahu sih sebenarnya ini asli apa palsu, soalnya kata beauty blogger ini enak banget dipake bikin muka kenyal dan cerah, tapi aku pakai kok biasa aja gak ada kesan kenyal"" gitu, apa punyaku palsu atau emang dimukaku aja yang gak berpengaruh, ",0
37,"Pernah nyoba ini karena ada claim ""brightening""nya dan dulu muka aku kusem bangeet. Pas pertama kali dicoba, langsung dong ada satu jerawat yang merah banget di jidat atau hidung aku gitu. Langsung ga aku pake lagi deh",0
