review,label
"
ð Review : Entah kenapa ga cocok pakai micelair ini, padahal banyak orang yang cocok. Rasanya panas setelah pakai. Padahal gampang ditemui affordable juga.",0
"
fw waktu smp sampai smk kelas 1 jujur ini bagus banget bikin muka aku cerah ngga kusem karna aku orang nya sering penasaran klw ada fw lain jadi semenjak smk udah gapake lagi tapi nanti klw udah abis fw aku yg skrng bakalan pake lagi pokonyaa cintaaaa deeeh 💖",1
"
sebenernya enak si ini,seger gitu...cuman...butiran yg keluar itu gede gede banget,jadinya basah gitu,nyerapnya juga jadi agak lama...efek k acne nya juga ga ada...jadi kaya cuma bikin seger gitu aja...",0
" aku pakai ini udah skitar 3mingguan , emang bisa ngempesin jerawat ku , beruntusan juga berkurang , tp muka malah jadi keliatan kusam dan agak berminyak. aku pilih stop pake dulu aja , daripada nnti makin parah dan muka jadi lebih rusak , ",0
" aku pake cream ini coba setiap hari rutin selama 2 mingguan , efek mncerahkan emang dapet sih di aku , tp kayaknya mulai sekarang aku pilih stop aja, because bikin muka ku jadi berminyak parah sekarang , dan ada sdikit bruntusan juga . ",0
" aku pake yang kemasan jar, dipake bareng sama rangkaian sakura yang lain hasilnya bagus banget. paginya kelihatan lembab, cerah enak aja. buat teksturnya agak berat dimuka, tapi lumayan cepet ngeresep dikulit",1
" facial wash yang super cool sensation di kulit aku, yang lebih unik, busanya langsung keluar bukan lagi bentuk cairan guys, jadi ga perlu air gitu, pokoknya ini beda banget, dan bisa untuk jerawat juga terlebih kandungan cicanya , dan ini aromanya ga menganggu di aku sih, for all i love it guys, cakepp untuk jerawat ",1
" niat beli emang buat dipakai daily sih , kalau habis pakai cream ini muka terlihat lebih cerah dari sebelumnya . tp sayang bgt pakai ini baru beberapa kali aja uda bikin muka jadi tumbuh jerawat dan berminyak .. ",0
" Pertama kali nyobain ganti facial wash tapi ga cocok dimuka aku, dia malah bikin jerawatku meradang, perih, terasa kebakar, kering, kulit wajahku mengelupas
Aku ga bilang produknya jelek tapi produknya aja yg gacocok dimuka aku
Untungnya aku garugi beli fw ini karena aku beli yg share in jar😂",0
" tertarik beli krn ada matchanya gt hihi.. wanginya segerr bgt, creamnya wrn ijo trus busanya buanyak dan daya bersihnya oke, saking okenya bersihin sebum2 dmuka sampe2 abis cuci muka pake ini jd kering muka aku 😂 buat kulit oily kayanya ini bagus deh",1
"-+ baru sebulan pakai,awal nya terasa panas,perih & gatal gitu... Sampai samping cuping hidung terasa gatal,kering bgt,ngelupas nya makin parah... ini berlangsung 2 minggu lebih. Akukira gak cocok,tp ttp aku terusin pemakaian. Alhamdulillah sekarang udh gak gatal,perih &ngelupas gitu. Kulit jd bersih & glowing. Dan aku klo pke gak suka dtimpa2 pke bedak lg... Jd klo udah skincare an,ya udah gak dtimpa sama bedak atau make up lain nya... Pkai ini aja udah cerah kok😁",1
"(+) ada kandungan niacin di urutan ke 3, so ngaruh di kulie gue. moist ini lebih cocok digunakan kombinasi, karena pas dipake nge set (?) gitu. ga cocok untuk yang kulitnya kering. mayan lah dh gbegitu kusam, untuk nyerahinnya baru keliatan 20%an lah soalnya pake baru 3 bulanan bekas jerawat ada beberapa yg memudar... (-) bau nya nyengat banget, jadi kalau pakai moist ini selalu nafas lewat mulut saking ga tahan sm baunya yg wangi banget,. repurchase ga ya? bisa jadi bisa tidak",1
"(+) aku suka face mist ini krn dia mudah nyerap di wajah acneku ini, selain itu face mist ini ga membuat wajahku kenapa2(krn wajahku sensitifitasnya tinggi) dan kalo di apply itu memberi efek dingin.
(-) kalo udah di luar ruangan dan cuacanya panas, di wajah malah makin oily sekali.",1
"(+) Ampuh bikin putih dalam sekejap dan ini putihnya awet berjam-jam, muka jadi makin fresh, komedo jerawat tersamarkan, ditimpa blush on hasilnya bagus banget pipi jadi kelihatan merona alami, irit karena dipakai sedikit udah ngena hasilnya. (-) kalau dipakai ke luar ruangan lebih dari 3 jam mukaku jadi berminyak tp batas wajar sih, kalau terlalu banyak ngeblendnya wajah jadi kayak vampir saking putihnya. ",1
